mes;tv_inversion
01/01/2016;27294.6
01/02/2016;932584.2
01/03/2016;148293.3
01/04/2016;83450.5
01/05/2016;0
01/06/2016;153542.9
01/07/2016;90160.7
01/08/2016;606015.7
01/09/2016;159463.8
01/10/2016;2399405.8
01/11/2016;444610.8
01/12/2016;914815.6
01/01/2017;654094.5
01/02/2017;0
01/03/2017;77706.6
01/04/2017;
01/05/2017;274671.9
01/06/2017;340388.6
01/07/2017;
01/08/2017;1139521.3
01/09/2017;993998.3
01/10/2017;1537109.8
01/11/2017;572822.6
01/12/2017;1373162.4
01/01/2018;481938.3
01/02/2018;161409.9
01/03/2018;546480.7
01/04/2018;0
01/05/2018;7103.3
01/06/2018;62360.1
01/07/2018;249049.7
01/08/2018;559534.6
01/09/2018;94120.1
01/10/2018;1698622
01/11/2018;831570.9
01/12/2018;1570698.6
01/01/2019;324452.8
01/02/2019;231328.5
01/03/2019;67302.8
01/04/2019;395761.6
01/05/2019;247022.1
01/06/2019;46203.6
01/07/2019;129899
01/08/2019;97574.8
01/09/2019;579833.7
01/10/2019;321379.7
01/11/2019;22453
